,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,seq_id,vehicle_type,violation_type,year
63,22-412.3(b),RED,No,No,GAITHERSBURG,No,NISSAN,VAN,3495a93d-4e83-4a0e-959a-e6bbfe64a1e5,02 - Automobile,Citation,1996
64,21-801.1,BLUE,No,No,POTOMAC,No,ACURA,4S,5ce3a09a-c7a3-4f3d-9ea6-1fbe4016f4b3,02 - Automobile,Citation,2006
65,21-902(b1),WHITE,No,No,MORRIS PLAINS,No,BMW,TK,4c6871a3-aeea-4cb7-9478-f0f253243cc8,02 - Automobile,Citation,2006
66,21-902(b1),GRAY,No,No,ROCKVILLE,No,HONDA,CIVIC,7bd6fa21-0528-4073-b714-a8ad2c132f4b,02 - Automobile,Citation,2004
67,13-411(d),WHITE,No,No,RALEIGH,No,CHRYSLER,200,75d71712-8e14-41da-ba68-58aaa506ca38,02 - Automobile,Citation,2012
68,21-707(a),GRAY,No,No,BETHESDA,No,HOND,VN,3c1fde5a-c720-4c7a-a9fa-b976274741a8,02 - Automobile,Citation,2006
69,21-801.1,BLACK,No,No,ROCKVILLE,No,MERZ,4S,68928ac7-39ec-4e16-83d1-41e1fed92450,02 - Automobile,Citation,2010
70,21-902(a1),"GREEN, DK",No,No,DAMASCUS,No,BUICK,4S,c35c8004-7b22-4149-b4dc-ffc5261b5232,02 - Automobile,Citation,2001
71,21-902(a2),"GREEN, DK",No,No,DAMASCUS,No,BUICK,4S,c35c8004-7b22-4149-b4dc-ffc5261b5232,02 - Automobile,Citation,2001
72,21-801.1,BLUE,No,No,POTOMAC,No,HONDA,CRV,9ff80ef0-dee0-4bfb-82ae-2371c5fa2c57,02 - Automobile,Citation,2013
73,21-902(c1),BEIGE,No,No,GAITHERSBURG,No,TOYOTA,CAMRY,710ba7ad-8931-42a7-8b9d-567315b52af8,02 - Automobile,Citation,1997
74,16-303(h),BLACK,No,No,UPPER MARLBORO,No,CHEVROLET,4S,87983fbc-22e4-4bca-99ef-e0dbfd635738,02 - Automobile,Citation,1996
75,21-801.1,RED,No,No,SILVER SPRING,No,HOND,ACCORD,b502ed8f-6ef1-44c2-89f5-1c0f1ec79fa6,02 - Automobile,Citation,2009
76,21-801.1,GRAY,No,No,BOYDS,No,NISS,TK,bc8e85a4-cb97-4c5d-9dd1-2b2c32566657,02 - Automobile,Citation,2009
77,21-901.2,WHITE,No,No,CLARKSBURG,No,VOLKS WAGON,JETTA,d806d7eb-e1b7-4e81-9028-3f7a45e9a7e1,02 - Automobile,Citation,2017
78,21-801.1,WHITE,No,No,CLARKSBURG,No,CHEV,TK,45483413-1173-4f86-b333-bb6f8604b56e,02 - Automobile,Citation,2011
79,21-801.1,GRAY,No,No,GERMANTOWN,No,CHEV,CRUZE,eec5a40e-4b90-4526-a899-4b4deb8aa8dd,02 - Automobile,Citation,2015
80,21-902(b1),BLACK,No,No,SILVER SPRING,No,VOLVO,S70,1def26a5-7579-454a-a011-978c9792d2ec,02 - Automobile,Citation,1998
81,21-902(a1),WHITE,No,No,ROCKVILLE,No,FORD,F150,85431d04-ae76-4434-b7ed-cf3deec369c7,02 - Automobile,Citation,2001
82,17-107,MAROON,No,No,GERMANTOWN,No,JEEP,GRAND CHEROKEE,61144df6-4f47-4d19-b79f-7d0eb3d2303e,02 - Automobile,Citation,2001
83,16-301(j),BLACK,No,No,GAITHERSBURG,No,SCION,TC,b8325053-e5c2-496e-be14-f1708275c4b2,02 - Automobile,Citation,2007
84,21-707(a),WHITE,No,No,CLARKSBURG,No,TOYOTA,TACOMA,c8a2b44b-112f-4f72-9f29-869bb23ab478,02 - Automobile,Citation,2006
85,13-409(b),GRAY,No,No,HYATTSVILLE,No,ACURA,MDX,b87fe6a0-48bd-44d3-9573-4d1ec8581eed,02 - Automobile,Citation,2004
86,21-309(b),BLACK,No,No,ANNAPOLIS,No,INFINITI,M35X,e5068145-3568-4d79-9e64-1d5f0b1780dc,02 - Automobile,Citation,2007
87,17-107,BLACK,No,No,SILVER SPRING,No,NISSAN,ALTIMA,042d8273-a8fc-4216-bd44-dc5755afb0eb,02 - Automobile,Citation,2005
88,21-202(h1),"GREEN, DK",No,No,WASHINGTON,No,HONDA,CIVIC,ba0d2ca3-f753-49ba-aef4-e35259839b88,02 - Automobile,Citation,1999
89,21-902(b1),"GREEN, DK",No,No,WASHINGTON,No,HONDA,CIVIC,ba0d2ca3-f753-49ba-aef4-e35259839b88,02 - Automobile,Citation,1999
90,20-102(a1),BLACK,No,No,GERMANTOWN,No,GMC,YUKON  SUV,6149cad2-868b-4b29-b8f5-50e327ecb1c4,02 - Automobile,Citation,2007
91,21-1117(c),SILVER,No,No,NEW CARROLLTON,No,TOYT,2S,f3cb2b5c-1ca9-475d-9dbb-1b1881658dba,02 - Automobile,Citation,2005
92,21-801.1,BLACK,No,No,OLNEY,No,VOLK,4S,ca9b7e42-e335-4287-8ff4-6d7d86196ef1,02 - Automobile,Citation,2008
93,13-401(b),WHITE,No,No,SILVER SPRING,No,VOLKSWAGON,JETTA,0d945beb-7b9e-44e1-b0cf-37629b211114,02 - Automobile,Citation,1998
94,13-409(b),SILVER,No,No,FREDERICK,No,PONTIAC,VIBE,ed23dfcf-8291-45ba-aa93-46e61fe311e6,02 - Automobile,Citation,2003
95,21-707(a),BLACK,No,No,CAPITOL HEIGHTS,No,CHEV,4S,0e052362-d976-46f6-89ac-f8af14054110,02 - Automobile,Citation,2000
96,21-801(b),BLUE,No,No,GERMANTOWN,No,CHEV,IMPALA,e0d41554-7eff-4120-b16c-bf4115a49305,02 - Automobile,Citation,2007
97,21-801.1,WHITE,No,No,CLARKSBURG,No,TOYT,4S,6696649c-daed-42c6-ba15-9f59adf1fa7a,02 - Automobile,Citation,2007
98,21-801.1,BLACK,No,No,SILVER SPRING,No,FORD,4DR,eba7ddd9-4214-40bc-af89-3603828d9e38,02 - Automobile,Citation,2015
99,21-402(b),GRAY,No,No,SILVER SPRING,No,HONDA,CIVIC,80216af9-25cc-4cfb-868a-2438f0ede8cd,02 - Automobile,Citation,2006
100,21-309(b),WHITE,No,No,ROCKVILLE,No,MERC,4D,11ca20bb-58dc-400a-a8d7-7b487ccfd5b5,02 - Automobile,Citation,2003
101,13-401(h),SILVER,No,No,ROCKVILLE,No,KIA,OPTIMA,f9676485-c32e-4076-9dbc-1afe28188fa5,02 - Automobile,Citation,2013
102,13-401(b),GRAY,No,No,STATE COLLEGE,No,BMW,325XI,e19b8aad-4a80-4224-95a9-5e19a76bf5ca,02 - Automobile,Citation,2004
103,21-902(a1),YELLOW,No,No,GERMANTOWN,No,SCION,TC,e8ef182c-c52f-4171-9243-683d0258cc7e,02 - Automobile,Citation,2012
104,21-707(a),RED,No,No,SILVER SPRING,No,TOYOTA,SIENNA,1df82470-4f89-4f17-9ece-816624ae8728,02 - Automobile,Citation,2006
105,21-902(b1),BLACK,No,No,GAITHERSBURG,No,FORD,E-350,9ff983d2-25b1-48d0-b66c-ce823c633f15,02 - Automobile,Citation,1997
106,13-401(b),BLACK,No,No,ODENTON,No,YAMA,M/C,4667095b-656f-41e3-8a9b-45d77a1fd430,01 - Motorcycle,Citation,2007
107,21-902(a2),WHITE,No,No,UPPER MARLBORO,No,DODGE,CARAVAN,c0f0923b-2c45-4e11-ac38-0fe6d6293435,02 - Automobile,Citation,2006
108,22-101(a),BLACK,No,No,GAITHERSBURG,No,FORD,EXPEDITION,2c34201e-a3d2-4285-af60-5ade622589e5,02 - Automobile,Citation,2003
109,22-101(a),BLACK,No,No,WASHINGTON,No,FORD,ESCORT,58394eee-056b-48d2-84fb-483e8fd5beb2,02 - Automobile,Citation,1995
110,22-226(a),SILVER,No,No,MIAMI,No,CHEV,SPARK,638864ff-1f17-4eb3-a792-311fcae6772e,02 - Automobile,Citation,2013
