,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,vehicle_type,violation_type,year
516,21-802.1,GRAY,No,No,SILVER SPRING,No,CHEVROLET,IMPALA,02 - Automobile,Warning,2015
517,21-901.2,RED,No,No,GERMANTOWN,No,HYUNDAI,SANTA FE,03 - Station Wagon,Warning,2014
518,13-409(b),GRAY,No,No,POOLESVILLE,No,TOYT,PRIUS,02 - Automobile,Warning,2005
519,17-107,GRAY,No,No,DAMASCUS,No,LEXU,RX400,05 - Light Duty Truck,Warning,2006
520,21-307(b),BLACK,No,No,POOLESVILLE,No,AUDI,A6,02 - Automobile,Warning,2012
521,21-801.1,RED,No,No,GERMANTOWN,No,MAZD,TK,02 - Automobile,Warning,2013
522,11-390.21,WHITE,No,No,SILVER SPRING,No,FORD,F450,05 - Light Duty Truck,Warning,2012
523,11-390.21,WHITE,No,No,ADELPHI,No,FORD,E350,05 - Light Duty Truck,Warning,2006
524,11-393.51(a),RED,Yes,No,GAITHERSBURG,No,MACK,DUMP,20 - Commercial Rig,Warning,1995
525,22-412.3(b),,No,No,WASHINGTON,No,VOLK,CAR,02 - Automobile,Warning,2007
526,13-411(a),"BLUE, DARK",No,No,GAITHERSBURG,No,BMW,2S 645CI,02 - Automobile,Warning,2005
527,21-801.1,BLACK,No,No,REHOBOTH BEACH,No,BMW,428,02 - Automobile,Warning,2014
528,21-1104(c),BLACK,No,No,GAITHERSBURG,No,INFI,M35X,02 - Automobile,Warning,2006
529,21-309(b),GRAY,No,No,BOWIE,No,DODGE,JOURNEY,03 - Station Wagon,Warning,2013
530,21-707(a),"BLUE, DARK",No,No,FREDERICK,No,DODGE,GD CARAVAN,03 - Station Wagon,Warning,2014
531,21-801.1,SILVER,No,No,ROCKVILLE,No,TOYT,4S,02 - Automobile,Warning,2000
532,21-707(a),BLACK,No,No,GAITHERSBURG,No,TOYOTA,COROLLA,02 - Automobile,Warning,2014
533,11-393.95(f),WHITE,No,No,GAITHERSBURG,No,INTL,4300,06 - Heavy Duty Truck,Warning,2002
534,11-393.83,WHITE,No,No,HAGERSTOWN,No,ISUZ,BOX TK,05 - Light Duty Truck,Warning,2007
535,11-390.21,WHITE,No,No,ALEXANDRIA,No,FORD,F250,05 - Light Duty Truck,Warning,2015
536,21-801.1,SILVER,No,No,SILVER SPRING,No,HOND,MC,01 - Motorcycle,Warning,2002
537,21-801.1,BLACK,No,No,ROCKVILLE,No,VOLVO,XC90,01 - Motorcycle,Warning,2007
538,21-801.1,WHITE,No,No,MIDDLETOWN,No,FORD,SU,02 - Automobile,Warning,2013
539,11-393.9,WHITE,No,No,SILVER SPRING,No,FORD,F350,06 - Heavy Duty Truck,Warning,2008
540,22-404(a),TAN,No,No,RALEIGH,No,TOYOTA,COROLLA,02 - Automobile,Warning,2005
541,13-409(b),BLACK,No,No,BOWIE,No,MERZ,SUV,02 - Automobile,Warning,2009
542,21-801.1,BEIGE,No,No,BALTIMORE,No,BMW,SW,02 - Automobile,Warning,2017
543,21-707(a),SILVER,No,No,BETHESDA,No,SAAB,CN,02 - Automobile,Warning,2001
544,21-707(a),WHITE,No,No,GAITHERSBURG,No,INFI,J30,02 - Automobile,Warning,1996
545,21-707(a),BLACK,Yes,No,GREAT FALLS,No,ACURA,MDX,02 - Automobile,Warning,2009
546,21-801.1,WHITE,No,No,OLNEY,No,ACURA,TL,02 - Automobile,Warning,2009
547,13-411(a),WHITE,No,No,ROCKVILLE,No,NISSAN,350Z,02 - Automobile,Warning,2005
548,21-801.1,GRAY,Yes,No,GAITHERSBURG,No,BUIC,4S,02 - Automobile,Warning,2007
549,21-801.1,BLACK,No,No,WESTMINSTER,No,AUDI,SUV,02 - Automobile,Warning,2012
550,21-707(a),GRAY,No,No,COLUMBIA,No,ACURA,SUV,02 - Automobile,Warning,2014
551,21-902(b1),GRAY,No,No,CHEVY CHASE,No,TOYT,CELICA,02 - Automobile,Warning,1997
552,21-309(b),"BLUE, DARK",No,No,HYATTSVILLE,No,FORD,EXPEDITION,02 - Automobile,Warning,1998
553,21-307(b),WHITE,No,No,GAITHERSBURG,No,NISSAN,ALTIMA,02 - Automobile,Warning,2009
554,21-707(a),GRAY,No,No,GERMANTOWN,No,HOND,4S,02 - Automobile,Warning,2007
555,22-101(a),SILVER,No,No,NIMITZ,No,CHEVY,EQUINOX,02 - Automobile,Warning,2005
556,22-219(g),GREEN,No,No,POTOMAC,No,JEEP,CHEROKEE,02 - Automobile,Warning,1998
557,21-707(a),BLACK,No,No,SILVER SPRING,No,TOYT,TK,02 - Automobile,Warning,2001
558,13-401(h),BLACK,Yes,No,GAITHERSBURG,No,ACUR,UNK,02 - Automobile,Warning,1997
559,21-801.1,BLUE,No,No,FREDERICK,No,AUDI,4D,02 - Automobile,Warning,0
560,64*,SILVER,No,No,ROCKVILLE,No,HOND,ACCORD,02 - Automobile,ESERO,2004
561,22-226(a),GREEN,No,No,GAITHERSBURG,No,VOLVO,S40,02 - Automobile,Warning,2000
562,21-309(b),GRAY,No,No,GERMANTOWN,No,FORD,FOCUS,02 - Automobile,Warning,2010
563,21-801.1,GREEN,No,No,SILVER SPRING,No,MITS,TK,02 - Automobile,Warning,2004
564,21-801.1,WHITE,No,No,OLNEY,No,JEEP,TK,02 - Automobile,Warning,2002
565,21-308(a),WHITE,No,No,TOLEDO,No,CHEVY,CAPTIVA,02 - Automobile,Warning,2012
566,21-801(a),WHITE,No,No,ALEXANDRIA,No,BMW,X5,01 - Motorcycle,Warning,2011
567,21-1124.2(d2),SILVER,No,No,OLNEY,No,FORD,ESCAPE,02 - Automobile,Warning,2007
568,21-707(a),RED,No,No,GERMANTOWN,No,MAZDA,RX8,02 - Automobile,Warning,2010
569,21-310(a),BLACK,No,No,GAITHERSBURG,No,BMW,325XI,02 - Automobile,Warning,2006
570,21-201(a1),ORANGE,No,No,GAITHERSBURG,No,DODGE,CHARGER,02 - Automobile,Warning,2011
571,23-104,BLACK,No,No,MONTGOMERY VILLAGE,No,HYUNDAI,SUV,02 - Automobile,Warning,2005
572,16-113(h),WHITE,No,Yes,WASHINGTON,No,FORD,F350,05 - Light Duty Truck,Warning,2003
573,11-393.81,"GREEN, LGT",Yes,Yes,GERMANTOWN,No,INTE,DS,06 - Heavy Duty Truck,Warning,2005
574,11-393.9,WHITE,No,Yes,SILVER SPRING,No,CHEV,TK,05 - Light Duty Truck,Warning,1995
575,22-412.3(b),BLACK,No,No,MONTGOMERY VILLAGE,No,NISS,4S,02 - Automobile,Warning,2005
576,21-202(m),"GREEN, LGT",No,No,CHEVERLY,No,MAZD,TK,02 - Automobile,Warning,1998
577,11-393.9,BLACK,No,No,GAITHERSBURG,No,HOND,4S,02 - Automobile,Warning,1999
578,21-801.1,BLUE,No,No,ADELPHI,No,SUBARU,2S,02 - Automobile,Warning,2013
579,21-801.1,WHITE,No,No,LAUREL,No,TOYOTA,PRIUS,02 - Automobile,Warning,2010
580,21-707(a),SILVER,No,No,DERWOOD,No,TOYT,CAMRY,02 - Automobile,Warning,2005
581,21-309(b),"GREEN, DK",No,No,MONTGOMERY VILLAGE,No,HOND,ACCORD,02 - Automobile,Warning,1993
582,21-308(a),TAN,No,No,WASHINGTON,No,NISSAN,ROGUE,02 - Automobile,Warning,2010
583,21-309(b),GRAY,No,No,WOODBRIDGE,No,SATURN,4D,02 - Automobile,Warning,2007
584,11-393.9,MAROON,No,No,DAMASCUS,No,CHEV,4S - CAPRICE,02 - Automobile,Warning,1993
585,21-309(b),RED,No,No,KENSINGTON,No,HONDA,CIVIC,02 - Automobile,Warning,1998
586,11-393.9,GOLD,No,No,SILVER SPRING,No,HONDA,ODYSSEY,02 - Automobile,Warning,2003
587,11-393.9,GREEN,No,No,CAMP SPRINGS,No,DODGE,RAM,28 - Other,Warning,1997
588,22-101(a),GREEN,No,No,ROCKVILLE,No,TOYT,4S,02 - Automobile,Warning,2000
589,13-411(a),GREEN,No,No,WHEATON,No,ACUR,4S,02 - Automobile,Warning,2000
590,21-309(b),N/A,No,No,KENSINGTON,No,NONE,NONE,29 - Unknown,Warning,
591,21-801.1,GRAY,No,No,GERMANTOWN,No,FORD,TK,05 - Light Duty Truck,Warning,2007
592,21-203(c),N/A,No,No,GERMANTOWN,No,NONE,NONE,29 - Unknown,Warning,
593,21-309(b),GOLD,No,No,RESTON,No,TOYT,SIENNA,02 - Automobile,Warning,2015
594,21-801.1,BLUE,No,No,FORT WASHINGTON,No,INFINITI,G5,02 - Automobile,Warning,2004
595,21-301(a),SILVER,No,No,SILVER SPRING,No,HYUNDAI,ELANTRA,02 - Automobile,Warning,2013
596,21-801.1,SILVER,No,No,WASHINGTON,No,CHEVROLET,IMPALA,02 - Automobile,Warning,2006
597,21-801.1,RED,No,No,CABIN JOHN,No,FORD,F150,02 - Automobile,Warning,2003
598,21-502(a2),GREEN,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Warning,1998
599,21-405(b),GOLD,No,No,SILVER SPRING,No,HONDA,CIVIC,02 - Automobile,Warning,2003
600,11-393.78,YELLOW,Yes,No,SEMINOLE,No,PETE,TT,07 - Truck/Road Tractor,Warning,2005
601,22-206(a),GRAY,No,No,POTOMAC,No,ACUR,TK,02 - Automobile,Warning,2008
602,21-309(b),WHITE,No,No,POTOMAC,No,LEXUS,IS250,02 - Automobile,Warning,2009
603,21-801.1,SILVER,No,No,TAKOMA PARK,No,TOYT,COROLLA,02 - Automobile,Warning,2008
604,21-801.1,BLACK,No,No,DERWOOD,No,CHEVY,4DR,02 - Automobile,Warning,2016
605,21-202(m),GREEN,No,No,ROCKVILLE,No,LEXUS,4S,02 - Automobile,Warning,2006
606,21-801.1,"BLUE, LIGHT",No,No,GERMANTOWN,No,BMW,325 XI,02 - Automobile,Warning,2000
607,13-401(h),GRAY,No,No,SANDY SPRING,No,MERCURY,MILAN,02 - Automobile,Warning,2003
608,21-301(a),SILVER,No,No,GERMANTOWN,No,HYUNDAI,4DR,02 - Automobile,Warning,0
609,23-104,WHITE,No,No,GAITHERSBURG,No,PONT,4S,02 - Automobile,Warning,1999
610,23-104,BLACK,No,No,ROCKVILLE,No,TOYOTA,XRS,02 - Automobile,Warning,2010
611,11-393.9,SILVER,No,No,GAITHERSBURG,No,SCION,TC,02 - Automobile,Warning,2007
612,11-393.9,WHITE,No,No,GERMANTOWN,No,MITSUBISHI,DIAMANTE,02 - Automobile,Warning,2003
613,21-801.1,SILVER,No,No,NORTH POTOMAC,No,TOYOTA,CAMRY,02 - Automobile,Warning,2004
614,21-604(c),SILVER,No,No,ROCKVILLE,No,HONDA,CR-V,02 - Automobile,Warning,2007
615,11-393.83,BLUE,No,No,BURTONSVILLE,No,FORD,4S,02 - Automobile,Warning,2001
616,21-204(b),WHITE,No,No,OLNEY,No,HONDQ,PILOT,02 - Automobile,Warning,2003
617,21-801.1,SILVER,No,No,SILVER SPRING,No,BMW,328I,02 - Automobile,Warning,1997
618,21-310(a),BLUE,No,No,NORTH POTOMAC,No,VOLV,S80,02 - Automobile,Warning,2000
619,21-801.1,WHITE,No,No,SILVER SPRING,No,FORD,FOCUS,02 - Automobile,Warning,2014
620,21-901.2,GOLD,No,No,BALTIMORE,No,TOYOTA,SIENNA,02 - Automobile,Warning,2002
621,21-801.1,BLACK,No,No,GERMANTOWN,No,TOYT,CAMRY,02 - Automobile,Warning,2009
622,21-309(b),RED,No,No,SILVER SPRING,No,ACUR,C2LS,02 - Automobile,Warning,2003
623,11-393.9,RED,No,No,BOWIE,No,TOYOTA,ECHO,02 - Automobile,Warning,2000
624,22-206(a),SILVER,No,No,SILVER SPRING,No,TOYOTA,CELICA,02 - Automobile,Warning,1995
625,21-202(h1),BLACK,No,No,GERMANTOWN,No,MERC,C300,02 - Automobile,Warning,2008
626,13-411(g),GREEN,No,No,SILVER SPRING,No,KAWASAKI,.,01 - Motorcycle,Warning,2007
627,22-412.3(b),BLACK,No,No,BOWIE,No,FORD,TK,06 - Heavy Duty Truck,Warning,2001
628,21-309(b),SILVER,No,No,GAITHERSBURG,No,NEXT,POWER STROKE,28 - Other,Warning,0
629,21-707(a),GREEN,No,No,SILVER SPRING,No,CHEV,TAHOE,02 - Automobile,Warning,1995
630,21-309(b),SILVER,Yes,No,ATHENS,No,CADILLAC,SLS,02 - Automobile,Warning,2001
631,22-219(a),GOLD,No,No,BELTSVILLE,No,JEEP,SUV,02 - Automobile,Warning,2000
632,17-107,BLACK,No,No,ROCKVILLE,No,HONDA,CIVIC,02 - Automobile,Warning,1993
633,22-226(a),SILVER,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Warning,2004
634,21-801.1,SILVER,No,No,SILVER SPRING,No,JEEP,TK,02 - Automobile,Warning,1994
635,21-801.1,BLACK,No,No,PLEASANT GROVE,No,TOYOTA,MATRIX,02 - Automobile,Warning,2006
636,22-226(a),GREEN,No,No,LAUREL,No,HONDA,ACCORD,02 - Automobile,Warning,2001
637,13-411(a),WHITE,No,No,TEST,No,FORD,FORD,01 - Motorcycle,Warning,2000
638,21-1117(c),WHITE,No,No,LAUREL,No,DODGE,RAM,05 - Light Duty Truck,Warning,2012
639,13-401(h),GRAY,No,No,BOYDS,No,HYUNDAI,ACCENT,02 - Automobile,Warning,2002
640,21-801.1,GRAY,No,No,SILVER SPRING,No,ACURA,MDX,02 - Automobile,Warning,2004
641,21-707(a),GRAY,No,No,HAGERSTOWN,No,NISSAN,ALTIMA,02 - Automobile,Warning,2009
642,21-402(a),WHITE,No,No,SILVER SPRING,No,FORD,FLEX,02 - Automobile,Warning,2011
643,21-801.1,RED,No,No,POOLESVILLE,No,HOND,CR-V,02 - Automobile,Warning,2006
644,21-801.1,BLACK,No,No,GAITHERSBURG,No,NISSAN,TK,02 - Automobile,Warning,2002
645,21-801.1,BLACK,No,No,NORTH BETHESDA,No,TOYOTA,4S,02 - Automobile,Warning,2015
646,21-707(a),RED,No,No,POOLESVILLE,No,TOYOTA,PRIUS,02 - Automobile,Warning,2013
647,21-801.1,BLACK,No,No,ROCKVILLE,No,ACUR,4S,02 - Automobile,Warning,2004
648,21-309(b),BEIGE,No,No,DARNESTOWN,No,TOYOTA,SIENNA,02 - Automobile,Warning,2001
649,21-310(a),WHITE,No,No,CATONSVILLE,No,BMW,X3,02 - Automobile,Warning,2008
650,21-707(a),GRAY,No,No,GAITHERSBURG,No,TOYT,RAV4,02 - Automobile,Warning,2013
651,21-707(a),GREEN,No,No,GERMANTOWN,No,TOYOTA,COROLLA,02 - Automobile,Warning,2009
652,13-401(b),GREEN,No,No,WASHINGTON,No,NISSAN,QUEST,02 - Automobile,Warning,2004
653,21-801.1,"GREEN, DK",No,No,MIDDLETOWN,No,FORD,TK,02 - Automobile,Warning,2003
654,21-201(a1),BLACK,No,No,KENSINGTON,No,HONDA,ACCORD,02 - Automobile,Warning,1999
655,21-801.1,RED,No,No,VIENNA,No,MAZDA,CX3,02 - Automobile,Warning,2017
656,21-801.1,MAROON,No,No,BROOKEVILLE,No,TOYT,4S,02 - Automobile,Warning,2012
657,21-801.1,BLACK,No,No,GERMANTOWN,No,BMW,2S,02 - Automobile,Warning,1998
658,21-707(a),"BLUE, LIGHT",No,No,SILVER SPRING,No,TOYOTA,COROLLA,02 - Automobile,Warning,1996
659,21-801(a),SILVER,No,No,BURTONSVILLE,No,PORSCHE,CARERRA,02 - Automobile,Warning,2000
660,21-801.1,SILVER,No,No,SILVER SPRING,No,NISSAN,QUEST,03 - Station Wagon,Warning,2002
661,21-801.1,GOLD,No,No,LAUREL,No,HONDA,ODYSSEY,28 - Other,Warning,2003
662,21-309(b),WHITE,No,No,SILVER SPRING,No,ACURA,TL,02 - Automobile,Warning,2007
663,21-801.1,WHITE,No,No,MONTCLAIR,No,LINCOLN,4DR,02 - Automobile,Warning,2006
664,21-801.1,BLUE,No,No,MONTGOMERY VILLAGE,No,HOND,4S,02 - Automobile,Warning,2008
665,21-1003(m),WHITE,No,No,UNKNOWN,No,FORD,TRANSIT,02 - Automobile,Warning,2010
666,21-801.1,GRAY,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Warning,2014
667,21-707(a),"BLUE, DARK",No,No,WASHINGTON,No,CHEVROLET,TAHOE,02 - Automobile,Warning,2003
668,22-206(a),RED,No,No,WASHINGTON,No,HONDA,CIVIC,02 - Automobile,Warning,1996
669,13-411(a),WHITE,No,No,ROCKVILLE,No,BMW,318I,02 - Automobile,Warning,1991
670,21-707(a),RED,No,No,MONTGOMERY VILLAGE,No,VW,PASSAT,02 - Automobile,Warning,2000
671,13-401(h),RED,No,No,ADELPHI,No,KIA,4H,02 - Automobile,Warning,2006
672,13-401(h),GREEN,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Warning,1995
673,13-411(a),MAROON,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Warning,1999
674,11-392.16,GOLD,No,No,OWINGS MILLS,No,LEXUS,RX300,02 - Automobile,Warning,1999
675,11-393.9,BROWN,No,No,ROCKVILLE,No,JEEP,CHEROKEE,28 - Other,Warning,1999
676,22-206(a),TAN,No,No,SILVER SPRING,No,HONDA,4S,02 - Automobile,Warning,1999
677,21-707(a),"BLUE, LIGHT",No,No,NEW CARROLLTON,No,BMW,4S,02 - Automobile,Warning,2005
678,11-392.80(a),"BLUE, DARK",No,No,GERMANTOWN,No,HOND,VN,02 - Automobile,Warning,2003
679,21-707(a),GRAY,No,No,TAKOMA PARK,No,LEXUS,RX450H,02 - Automobile,Warning,2011
680,21-309(b),GRAY,No,No,OLNEY,No,HOND,TK,02 - Automobile,Warning,2009
681,16-301(j),SILVER,No,No,,No,CHRYSLER,300,02 - Automobile,Warning,2005
682,22-404(a),SILVER,No,No,SILVER SPRING,No,NISSAN,ALTIMA,02 - Automobile,Warning,2006
683,21-707(a),SILVER,No,No,BELTSVILLE,No,FORD,ESCAPE,02 - Automobile,Warning,2004
684,21-801.1,GRAY,No,No,SILVER SPRING,No,NISSIAN,ALTIMA,02 - Automobile,Warning,2008
685,21-202(m),"BLUE, LIGHT",No,No,SILVER SPRING,No,HONDA,ODYSSEY,02 - Automobile,Warning,2003
686,21-801(a),"BLUE, DARK",No,No,BETHESDA,No,SUZUKI,MC,01 - Motorcycle,Warning,2005
687,11-393.9,BLUE,No,No,COLLINGDALE,No,NISSAN,4D,02 - Automobile,Warning,2007
688,21-204(d),GREEN,No,No,IRVINE,No,FORD,ESCORT,02 - Automobile,Warning,1998
689,22-219(a),BLUE,No,No,BURTONSVILLE,No,TOYOTA,CAMRY,02 - Automobile,Warning,2002
690,13-411(a),BLACK,No,No,ROCKVILLE,No,CHEVY,COBALT,02 - Automobile,Warning,2010
691,21-601(a),SILVER,No,No,SILVER SPRING,No,HONDA,ODYSSEY,02 - Automobile,Warning,2013
692,21-801(a),BLACK,No,No,GERMANTOWN,No,SCION,TC,02 - Automobile,Warning,2013
693,21-801.1,SILVER,No,No,SILVER SPRING,No,TOYT,RAV4,28 - Other,Warning,2011
694,21-309(b),WHITE,No,No,ROCKVILLE,No,FORD,TAURUS,02 - Automobile,Warning,1999
695,21-801.1,BLUE,No,No,BETHESDA,No,FORD,EXPLORER,02 - Automobile,Warning,2015
696,21-801.1,BLACK,No,No,GAITHERSBURG,No,ACURA,4S,02 - Automobile,Warning,2005
697,21-801.1,BLACK,No,No,SILVER SPRING,No,FORD,SUV,28 - Other,Warning,2012
698,13-411(a),GRAY,No,No,DERWOOD,No,TOYT,4S,02 - Automobile,Warning,2004
699,22-219(a),WHITE,No,No,BALTIMORE,No,NISS,TK,02 - Automobile,Warning,2003
700,21-801.1,WHITE,No,No,SILVER SPRING,No,MAZDA,TK,02 - Automobile,Citation,2012
701,21-309(b),SILVER,No,No,ROCKVILLE,No,MAZDA,3,02 - Automobile,Warning,2005
702,21-309(b),BEIGE,No,No,CENTREVILLE,No,HONDA,PILOT,02 - Automobile,Warning,2011
703,21-801.1,SILVER,No,No,ROCKVILLE,No,NISSAN,VERSA,02 - Automobile,Warning,2008
704,21-309(h),RED,No,No,SILVER SPRING,No,NISSAN,TK,05 - Light Duty Truck,Warning,1992
705,21-601(a),BLUE,No,No,RANDOLPH,No,HONDA,ACCORD,02 - Automobile,Warning,2000
706,21-707(a),BLACK,No,No,SANDY SPRING,No,CHEV,2H,02 - Automobile,Warning,2005
707,21-801.1,BLUE,No,No,SILVER SPRING,No,HOND,2S,02 - Automobile,Warning,2005
708,13-401(b1),BLACK,Yes,No,WASHINGTON,No,UNKNOWN,MOPED,02 - Automobile,Warning,2010
709,21-301(a),SILVER,No,No,ROCKVILLE,No,HONDA,ODYSSEY,02 - Automobile,Warning,2001
710,11-393.9,BLUE,No,No,WASHINGTON,No,JEEP,WRANGLER,02 - Automobile,Warning,2001
711,21-309(b),SILVER,Yes,No,SILVER SPRING,No,NISSAN,XTERRA,02 - Automobile,Warning,2002
712,22-219(a),BEIGE,No,No,SANDY SPRING,No,CHEVY,COBALT,02 - Automobile,Warning,2006
713,21-1102(a),SILVER,No,No,GERMANTOWN,No,VOLVO,4DR,02 - Automobile,Warning,2005
714,21-801.1,GRAY,No,No,COLUMBIA,No,TOYOTA,SUV,02 - Automobile,Warning,2001
715,21-801.1,GRAY,No,No,SPRINGFIELD,No,HONDA,ACCORD,02 - Automobile,Warning,2009
716,21-707(a),RED,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Warning,2013
717,13-411(g),BLACK,No,No,HYATTSVILLE,No,HONDA,CIVIC,02 - Automobile,Warning,2000
718,21-801.1,MAROON,No,No,ANNAPOLIS,No,FORD,4S,02 - Automobile,Warning,2001
719,21-801.1,WHITE,No,No,GAITHERSBURG,No,MERZ,CLK320,02 - Automobile,Warning,2000
720,21-801.1,SILVER,No,No,LAUREL,No,VOLK,GOLF,02 - Automobile,Warning,2013
721,22-209(b),RED,No,No,ENERGY,No,HONDA,CIVIC,02 - Automobile,Warning,2009
722,21-1003(e),BLACK,No,No,WASHINGTON,No,TOYOTA,PRIUS,02 - Automobile,Warning,2012
723,21-801.1,BLACK,No,No,ROCKVILLE,No,DODGE,2D,02 - Automobile,Warning,2014
724,21-309(b),BLACK,No,No,SILVER SPRING,No,JEEP,SUV,02 - Automobile,Warning,2017
725,21-309(b),SILVER,No,No,SILVER SPRING,No,HONDA,RIDGELINE,02 - Automobile,Warning,2007
726,21-309(b),SILVER,No,No,BELTSVILLE,No,TOYOTA,CAMRY,02 - Automobile,Warning,2011
727,21-707(a),RED,No,No,SILVER SPRING,No,MAZDA,5,02 - Automobile,Warning,2012
728,16-112(c),RED,No,No,SILVER SPRING,No,LINCOLIN,MKC,02 - Automobile,Warning,2015
729,21-308(a),"GREEN, DK",No,No,SILVER SPRING,No,KIA,OPTIMA,02 - Automobile,Warning,2003
730,16-301(j),WHITE,No,No,ROCKVILLE,No,NISSAN,4S,02 - Automobile,Warning,2014
731,21-901.2,BLACK,No,No,SILVER SPRING,No,LEXUS,4D,02 - Automobile,Warning,2010
732,21-801.1,RED,No,No,SUITLAND,No,TOYOTA,4D,02 - Automobile,Warning,2012
733,21-308(a),GOLD,No,No,HYATTSVILLE,No,HONDA,CRV,02 - Automobile,Warning,2007
734,21-901.2,"GREEN, LGT",No,No,SILVER SPRING,No,KIA,4D,02 - Automobile,Warning,2016
735,21-309(b),BLACK,No,No,SILVER SPRING,No,FORD,VN,02 - Automobile,Warning,2007
736,22-206(a),WHITE,No,No,ROCKVILLE,No,CHEV,EXPRESS,02 - Automobile,Warning,2001
737,22-204(f),WHITE,No,No,ROCKVILLE,No,SCIO,2S,02 - Automobile,Warning,2005
738,21-309(d),BLACK,No,No,JACKSONVILLE,No,NISS,ARMADA,02 - Automobile,Warning,2008
739,21-801.1,BLACK,No,No,SILVER SPRING,No,ACURA,RSX,02 - Automobile,Warning,2002
740,21-707(a),BLUE,No,No,KENSINGTON,No,CHEV,TRK,02 - Automobile,Warning,1996
741,21-707(a),SILVER,No,No,SILVER SPRING,No,MAZD,SU,02 - Automobile,Warning,2014
742,21-1104(c),RED,No,No,SILVER SPRING,No,HOND,ACCORD,02 - Automobile,Warning,1996
743,21-707(a),GRAY,No,No,SILVER SPRING,No,BMW,X3,02 - Automobile,Warning,2014
744,21-309(b),SILVER,No,No,SILVER SPRING,No,CHEVY,EQUINOX,02 - Automobile,Warning,2014
745,21-707(a),BLACK,No,No,POTOMAC,No,HONDA,CR-V,05 - Light Duty Truck,Warning,2015
746,21-801.1,SILVER,No,No,GERMANTOWN,No,HONDA,ACCORD,02 - Automobile,Warning,2004
747,55*,GREEN,No,No,DAMASCUS,No,TOYT,COROLLA,02 - Automobile,ESERO,2006
748,22-203(b),GOLD,No,No,GAITHERSBURG,No,TOYT,CAMRY,02 - Automobile,Warning,2009
749,21-801.1,WHITE,No,No,GAITHERESBURG,No,BMW,X3,02 - Automobile,Warning,2005
750,21-801.1,TAN,No,No,GERMANTOWN,No,HOND,4S,02 - Automobile,Warning,2001
751,21-707(a),SILVER,No,No,ROCKVILLE,No,HOND,ACCORD,02 - Automobile,Warning,2004
752,21-309(b),SILVER,No,No,GERMANTOWN,No,OLDS,SILHOUETTE,02 - Automobile,Warning,2002
753,11-390.21,WHITE,Yes,No,LA PLATA,No,ISUZ,TK,05 - Light Duty Truck,Warning,2001
754,21-707(a),BLACK,No,No,SILVER SPRING,No,NISSAN,PATHFINDER,02 - Automobile,Warning,2003
755,21-309(b),SILVER,No,No,WASHINGTON,No,CHRYSLER,200,02 - Automobile,Warning,2014
756,16-113(h),BLUE,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Warning,2018
757,13-411(f),ORANGE,No,No,ROCKVILLE,No,CHEVY,SONIC,02 - Automobile,Warning,2013
758,13-401(b1),BLACK,No,No,BETHESDA,No,CHEVY,BLAZER,02 - Automobile,Warning,2001
759,21-309(b),GREEN,No,No,LAUREL,No,JEEP,SUV,02 - Automobile,Warning,2005
760,88*,GOLD,No,No,OLNEY,No,TOYT,TK,02 - Automobile,ESERO,2005
761,21-801(a),WHITE,No,No,BURTONSVILLE,No,BMW,X5,02 - Automobile,Warning,2013
762,21-801.1,RED,No,No,SILVER SPRING,No,BMW,328I,02 - Automobile,Warning,2015
763,21-801.1,BLUE,No,No,KENSINGTON,No,VOLV,SW,02 - Automobile,Warning,2004
764,21-801(a),GRAY,No,No,ROCKVILLE,No,NISSAN,ALTIMA,02 - Automobile,Warning,2016
765,21-1102(a),WHITE,No,No,SLIVER SPRING,No,FORD,VAN,02 - Automobile,Warning,2000
766,16-301(e),"BLUE, DARK",No,No,BALTIMORE,No,SCION,XD,02 - Automobile,Warning,2008
767,21-202(h2),BLUE,No,No,MANKATO,No,CHEVROLET,4D,02 - Automobile,Warning,2005
768,21-1003(d),SILVER,No,No,SILVER SPRING,No,TOYT,4S,02 - Automobile,Warning,2011
769,21-801.1,WHITE,No,No,MONTGOMERY VILLAGE,No,DODGE,VAN,02 - Automobile,Warning,1996
770,21-801.1,"BLUE, LIGHT",No,No,BALTIMORE,No,NISSAN,SENTRA,02 - Automobile,Warning,2016
771,21-901.2,SILVER,No,No,WASHINGTON,No,LEXUS,RX 330,02 - Automobile,Warning,2004
772,16-301(j),RED,No,No,HUNTINGTOWN,No,CHEVROLET,SILVERADO,02 - Automobile,Warning,2000
773,21-1003(e),GOLD,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Warning,2002
774,21-801.1,BLACK,No,No,BURTONSVILLE,No,TOYOTA,COROLLA,02 - Automobile,Warning,2003
775,21-801.1,BLACK,No,No,SILVER SPRING,No,MAZDA,SUV,02 - Automobile,Warning,2018
776,21-801.1,BLACK,No,No,LAUREL,No,TOYOTA,4S,02 - Automobile,Warning,2010
