,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,vehicle_type,violation_type,year
98,21-801(b),BLUE,No,No,GERMANTOWN,No,CHEV,IMPALA,02 - Automobile,Citation,2007
99,21-801.1,WHITE,No,No,CLARKSBURG,No,TOYT,4S,02 - Automobile,Citation,2007
100,21-801.1,BLACK,No,No,SILVER SPRING,No,FORD,4DR,02 - Automobile,Citation,2015
101,21-402(b),GRAY,No,No,SILVER SPRING,No,HONDA,CIVIC,02 - Automobile,Citation,2006
102,21-309(b),WHITE,No,No,ROCKVILLE,No,MERC,4D,02 - Automobile,Citation,2003
103,13-401(h),SILVER,No,No,ROCKVILLE,No,KIA,OPTIMA,02 - Automobile,Citation,2013
104,13-401(b),GRAY,No,No,STATE COLLEGE,No,BMW,325XI,02 - Automobile,Citation,2004
105,21-902(a1),YELLOW,No,No,GERMANTOWN,No,SCION,TC,02 - Automobile,Citation,2012
106,21-707(a),RED,No,No,SILVER SPRING,No,TOYOTA,SIENNA,02 - Automobile,Citation,2006
107,21-902(b1),BLACK,No,No,GAITHERSBURG,No,FORD,E-350,02 - Automobile,Citation,1997
108,13-401(b),BLACK,No,No,ODENTON,No,YAMA,M/C,01 - Motorcycle,Citation,2007
109,21-902(a2),WHITE,No,No,UPPER MARLBORO,No,DODGE,CARAVAN,02 - Automobile,Citation,2006
110,22-101(a),BLACK,No,No,GAITHERSBURG,No,FORD,EXPEDITION,02 - Automobile,Citation,2003
111,22-101(a),BLACK,No,No,WASHINGTON,No,FORD,ESCORT,02 - Automobile,Citation,1995
112,22-226(a),SILVER,No,No,MIAMI,No,CHEV,SPARK,02 - Automobile,Citation,2013
113,20-103(b),SILVER,No,No,SILVER SPRING,No,FORD,MUSTANG,02 - Automobile,Citation,2002
114,21-801(b),BLUE,No,No,SILVER SPRING,No,COROLLA,TOYOTA,02 - Automobile,Citation,1993
115,21-801.1,BLUE,No,No,MONTGOMERY VILLAGE,No,MAZDA,PROTEGE,02 - Automobile,Citation,2000
116,21-902(a2),BLUE,No,No,TAKOMA PARK,No,TOYOTA,CAMRY,02 - Automobile,Citation,2004
117,21-801.1,BLACK,No,No,GERMANTOWN,No,HYUN,2S,02 - Automobile,Citation,2011
118,21-801(b),BLACK,No,No,HAMPSTEAD,No,HOND,2S,02 - Automobile,Citation,2009
119,21-801.1,GRAY,No,No,CLARKSBURG,No,SATU,4S,02 - Automobile,Citation,2004
120,21-801.1,BLUE,No,No,CLARKSBURG,No,CHRY,4D,02 - Automobile,Citation,2014
121,13-401(h),BLACK,No,No,GERMANTOWN,No,MAZDA,2D,02 - Automobile,Citation,1999
122,16-105(b1),BLACK,No,No,GERMANTOWN,No,TOYOTA,2D,02 - Automobile,Citation,2000
123,21-707(a),GRAY,No,No,SPRINGDALE,No,TOYOTA,RAV4,02 - Automobile,Citation,2004
124,21-202(h1),WHITE,No,No,GAITHERSBURG,No,JAG,S TYPE,02 - Automobile,Citation,2004
125,21-801.1,SILVER,No,No,BETHESDA,No,BMW,4S,02 - Automobile,Citation,2005
126,21-507G3I(i1),N/A,No,No,GERMANTOWN,No,NONE,NONE,29 - Unknown,Citation,
127,21-707(a),RED,No,No,GERMANTOWN,No,HYUN,4S,02 - Automobile,Citation,2013
128,21-801.1,RED,No,No,POTOMAC,No,HYUNDAI,4S,02 - Automobile,Citation,2002
129,21-902(b1),WHITE,No,No,SILVER SPRING,No,GMC,SAVANA,02 - Automobile,Citation,1999
130,20-104(b),SILVER,No,No,WASHINGTON,No,INFINITIF,J30,02 - Automobile,Citation,1993
